epoch,prediction_width,gamma
1,,0.25875745230155467
2,,0.18296914920498392
3,,0.14939368474112433
4,,0.12937872615077733
5,,0.11571985060618713
6,,0.10563728754689428
7,,0.09780112409636738
8,,0.09148457460249196
9,,0.08625248410051822
10,,0.08182629108152913
11,,0.07801830736295828
12,,0.07469684237056216
13,,0.07176640478320638
14,,0.06915583805620842
15,,0.06681088689806543
16,,0.06468936307538867
17,0.36971787,0.06275790042676668
18,0.38106266,0.060989716401661315
19,0.38106266,0.05936303081423804
20,0.38106266,0.057859925303093564
21,0.38468638,0.05646550532408569
22,0.39252326,0.05516727419304415
23,0.3940753,0.05395465854956014
24,0.34686622,0.05281864377344714
25,0.34686622,0.05175149046031093
26,0.34686622,0.0507465114835839
27,0.34686622,0.04979789491370812
28,0.34686622,0.04890056204818369
29,0.34686622,0.04805005261096956
30,0.34686622,0.047242431182709516
31,0.34686622,0.04647421037229953
32,0.34686622,0.04574228730124598
33,0.34686622,0.04504389075772293
34,0.34686622,0.04437653696479684
35,0.29140633,0.04373799235107402
36,0.29140633,0.04312624205025911
37,0.29140633,0.04253946311608988
38,0.29140633,0.0419760016405337
39,0.29140633,0.04143435312035585
40,0.29140633,0.04091314554076456
41,0.29140633,0.04041112474264535
42,0.29140633,0.039927141717786094
43,0.29140633,0.03946014153889423
44,0.29140633,0.03900915368147914
45,0.29140633,0.038573283535395714
46,0.29140633,0.03815170493699871
47,0.24771206,0.037743653579983126
48,0.24771206,0.03734842118528108
49,0.24732871,0.03696535032879353
50,0.24732871,0.03659382984099679
51,0.24732871,0.03623329070516947
52,0.24240673,0.03588320239160319
53,0.22960949,0.03554306957406755
54,0.1874384,0.03521242918229809
55,0.16021168,0.03489084775060942
56,0.16073392,0.03457791902810421
57,0.16101483,0.034273261820512387
58,0.16101483,0.033976518037586945
59,0.1409138,0.033687350923311876
60,0.1409138,0.033405443449032714
61,0.14096346,0.03313049685207621
62,0.14106336,0.03286222930454318
63,0.14110994,0.032600374698789125
64,0.14125344,0.032344681537694334
65,0.12036866,0.0320949119192031
66,0.12087571,0.031850840605811934
67,0.12127295,0.031612254170734086
68,0.12170719,0.03137895021338334
69,0.12217157,0.031150736637622897
70,0.117909394,0.03092743098692979
71,0.114403814,0.030708859831245598
72,0.11483454,0.030494858200830657
73,0.10119717,0.030285269062921994
74,0.08764059,0.03007994283742218
75,0.08834669,0.029878736948224866
76,0.08742802,0.02968151540711902
77,0.08549166,0.02948814842751244
78,0.079656556,0.029298512065481605
79,0.06291916,0.029112487885892192
80,0.056820627,0.028929962651546782
81,0.0538058,0.028750828033506075
82,0.05343502,0.028574980340899992
83,0.054323114,0.028402320268697743
84,0.049835697,0.028232752662042844
85,0.046812955,0.028066186295882672
86,0.04777885,0.027902533668733076
87,0.0463703,0.027741710809518958
88,0.047473073,0.027583637096522076
89,0.04846774,0.027428235087549473
90,0.046207093,0.027275430360509712
91,0.04545008,0.02712515136365148
92,0.046349213,0.02697732927478007
93,0.04442194,0.02683189786882243
94,0.04441364,0.02668879339316198
95,0.04490456,0.02654795445021019
96,0.04408859,0.02640932188672357
97,0.040262014,0.026272838689412888
98,0.039561972,0.026138449886426274
99,0.03717415,0.02600610245431943
100,0.03667819,0.025875745230155466
101,0.036353897,0.025747328828403426
102,0.035727963,0.025620805562328836
103,0.034195703,0.025496129369592238
104,0.03466764,0.02537325574179195
105,0.03481835,0.025252141657706378
