epoch,prediction_width,gamma
83,23.522835,457.73647840483216
84,23.53118,455.0036988858542
85,23.538437,452.319287853743
86,23.544703,449.6818351201467
87,23.550081,447.0899873933679
88,23.554836,444.542445360497
89,23.559124,442.0379609503782
90,23.562965,439.5753347643099
91,23.566496,437.15341366246565
92,23.569822,434.7710884950033
93,23.573275,432.4272919677217
94,23.576824,430.1209966329361
95,23.580399,427.85121299698227
96,23.584023,425.6169877364306
97,23.587751,423.4174020157079
98,23.591599,421.25156989938154
99,23.59557,419.118636852877
100,23.599943,417.0177783258642
101,23.414993,414.94819841297993
102,23.420086,412.9091285869459
103,23.425476,410.89982649950093
104,23.431204,408.9195748459022
105,23.24182,406.96768028904614
106,23.249456,405.04347243954743
107,23.257805,403.1463028883688
108,23.266163,401.27554428882894
109,23.069769,399.43058948504006
110,23.077871,397.6108506840229
111,23.085657,395.8157586689372
112,23.093035,394.044762051035
113,22.88188,392.29732655810545
114,22.888233,390.5729343573245
115,22.894058,388.8710834105617
116,22.90083,387.1912868603211
117,22.908003,385.53307244460996
118,22.679976,383.89598193914014
119,22.68622,382.2795706253635
120,22.691889,380.6834067829413
121,22.697153,379.10707120533107
122,22.702055,377.5501567372573
123,22.455757,376.0122678329062
124,22.459898,374.4930201337575
125,22.46378,372.9920400650283
126,22.467434,371.5089644497685
127,22.470932,370.04344013970154
128,22.474354,368.59512366195884
129,22.207903,367.1636808809052
130,22.21187,365.7487866743003
131,22.215918,364.350124623081
132,22.22033,362.9673867140963
133,22.22497,361.6002730551563
134,22.229744,360.248491601801
135,22.234657,358.91175789521964
136,21.948853,357.5897948107905
137,21.954033,356.2823323167328
138,21.959507,354.989107242396
139,21.965038,353.7098630557341
140,21.970615,352.4443496495375
141,21.976158,351.1923231360183
142,21.981606,349.9535456493663
143,21.986904,348.72778515591204
144,21.67871,347.5148152715535
145,21.683481,346.3144150861196
146,21.687916,345.12636899436217
147,21.6921,343.950466533282
148,21.69603,342.7865022255103
149,21.699713,341.6342754284812
150,21.703075,340.4935901891445
151,21.706215,339.364255103978
152,21.709179,338.246083184075
153,21.375433,337.13889172508806
154,21.378075,336.04250218182693
155,21.380606,334.95674004731165
156,21.383162,333.8814347360985
157,21.385794,332.81641947169845
158,21.38846,331.7615311779212
159,21.39116,330.71661037398405
160,21.39391,329.6815010732324
161,21.396675,328.65605068532403
162,21.399387,327.64010992174116
163,21.047174,326.63353270449466
164,21.049688,325.63617607789513
165,21.05213,324.6479001232693
166,21.054604,323.6685678765065
167,21.057068,322.6980452483244
168,21.059498,321.7362009471494
169,21.061914,320.7829064045109
170,21.06433,319.8380357028516
171,21.066992,318.90146550566465
172,21.070007,317.9730749898667
173,21.072966,317.0527457803255
174,21.076057,316.1403618864585
175,21.079134,315.235809640828
176,20.708172,314.3389776396577
177,20.711285,313.4497566852
178,20.714361,312.5680397298868
179,20.717396,311.69372182219854
180,20.72042,310.82670005419027
181,20.723528,309.96687351061325
182,20.72663,309.1141432195774
183,20.729698,308.26841210469763
184,20.732668,307.42958493867343
185,20.735405,306.59756829824954
186,20.73789,305.7722705205111
187,20.740156,304.95360166046515
188,20.742468,304.1414734498653
189,20.744787,303.33579925723615
190,20.345325,302.53649404905605
191,20.347618,301.74347435205976
192,20.349813,300.95665821662175
193,20.351967,300.1759651811846
194,20.354155,299.4013162376976
195,20.356377,298.6326337980304
196,20.358566,297.8698416613315
197,20.360712,297.1128649822987
198,20.362734,296.36163024033135
199,20.3647,295.6160652095377
200,20.366686,294.87609892956704
201,20.36865,294.1416616772411
202,20.370687,293.4126849389592
203,20.372908,292.68910138385155
204,20.375233,291.9708448376576
205,20.377655,291.2578502573058
206,20.380096,290.550053706173
207,19.952894,289.8473923300022
208,19.955444,289.14980433345744
209,19.957897,288.4572289572967
210,19.96026,287.7696064561434
211,19.962511,287.08687807683765
212,19.964676,286.4089860373505
213,19.966787,285.73587350624246
214,19.96891,285.06748458265145
215,19.971067,284.4037642767921
216,19.973284,283.7446584909537
217,19.975424,283.09011400097916
218,19.97748,282.4400784382119
219,19.979397,281.79450027189745
220,19.981054,281.1533287920244
221,19.98262,280.516514092594
222,19.984194,279.88400705530347
223,19.985664,279.2557593336336
224,19.986917,278.63172333732643
225,19.98797,278.0118522172428
226,19.98891,277.39609985058985
227,19.989788,276.7844208265056
228,19.543362,276.17677043199245
229,19.54405,275.57310463818845
230,19.54473,274.9733800869677
231,19.545347,274.3775540778596
232,19.545948,273.7855845552788
233,19.54669,273.197430096057
234,19.547453,272.6130498972682
235,19.548342,272.0324037643385
236,19.549316,271.4554520994344
237,19.550406,270.8821558901198
238,19.551796,270.31247669827627
239,19.55332,269.7463766492778
240,19.554873,269.18381842141474
241,19.556416,268.6247652355582
242,19.557915,268.06918084506094
243,19.559536,267.51702952588596
244,19.561216,266.96827606695854
245,19.562902,266.4228857607345
246,19.56456,265.88082439398033
247,19.566257,265.34205823875794
248,19.567953,264.8065540436102
249,19.5697,264.27427902494117
250,19.571697,263.745200858586
251,19.574022,263.2192876715659
252,19.105057,262.69650803402334
253,19.107801,262.1768309513326
254,19.110577,261.66022585638126
255,19.113289,261.14666260201835
256,19.11586,260.63611145366514
257,19.11823,260.12854308208404
258,19.120754,259.6239285563016
259,19.123373,259.1222393366825
260,19.125795,258.6234472681497
261,19.127968,258.1275245735473
262,19.130089,257.63444384714427
263,19.132065,257.14417804827224
264,19.133936,256.6567004950974
265,19.135443,256.1719848585215
266,19.136902,255.69000515620826
267,19.138445,255.21073574673414
268,19.140009,254.73415132385847
269,19.142075,254.260226910911
270,19.144403,253.7889378552942
271,19.146757,253.32025982309665
272,19.14932,252.85416879381603
273,19.151995,252.39064105518835
274,19.15498,251.92965319812077
275,19.157804,251.4711821117262
276,19.160152,251.01520497845678
277,19.162416,250.56169926933433
278,19.164639,250.11064273927468
279,19.166924,249.66201342250505
280,19.169569,249.21578962807055
281,18.682957,248.7719499354299
282,18.685118,248.3304731901358
283,18.687412,247.89133849960055
284,18.689709,247.4545252289429
285,18.69176,247.0200129969156
286,18.693579,246.5877816719109
287,18.695198,246.15781136804313
288,18.697035,245.73008244130585
289,18.698627,245.30457548580247
290,18.70002,244.88127133004792
291,18.70122,244.46015103334094
292,18.702215,244.0411958822041
293,18.702864,243.62438738689133
294,18.703417,243.20970727796038
295,18.70388,242.79713750290932
296,18.704453,242.38666022287583
297,18.7053,241.97825780939755
298,18.706327,241.57191284123178
299,18.707415,241.1676081012348
300,18.709044,240.7653265732974
301,18.710522,240.36505143933692
302,18.712284,239.96676607634427
303,18.713469,239.57045405348424
304,18.714607,239.17609912924846
305,18.7159,238.78368524865976
306,18.7174,238.39319654052701
307,18.718945,238.0046173147486
308,18.720676,237.617932059665
309,18.722637,237.2331254394574
310,18.725317,236.85018229159368
311,18.727186,236.46908762431863
312,18.728859,236.089826614189
313,18.729969,235.71238460365169
314,18.731577,235.33674709866446
315,18.733086,234.96289976635833
316,18.734682,234.59082843274027
317,18.217453,234.2205190804363
318,18.218687,233.85195784647345
319,18.219929,233.4851310200999
320,18.221138,233.1200250406427
321,18.222425,232.75662649540212
322,18.223696,232.3949221175823
323,18.224798,232.03489878425682
324,18.225761,231.67654351436903
325,18.22667,231.31984346676597
326,18.227562,230.9647859382661
327,18.228462,230.6113583617588
328,18.229445,230.25954830433625
329,18.230358,229.90934346545643
330,18.231165,229.56073167513674
331,18.231733,229.2137008921777
332,18.232141,228.86823920241608
333,18.232508,228.5243348170068
334,18.232965,228.1819760707335
335,18.233715,227.8411514203462
336,18.23459,227.5018494429271
337,18.235624,227.1640588342821
338,18.236784,226.82776840735926
339,18.237944,226.49296709069267
340,18.238962,226.1596439268715
341,18.239744,225.82778807103344
342,18.240442,225.4973887893833
343,18.241306,225.1684354577343
344,18.242323,224.84091756007334
345,18.243414,224.5148246871492
346,18.244556,224.1901465350827
347,18.245872,223.86687290399945
348,18.24712,223.54499369668395
349,18.248411,223.2244989172548
350,18.249456,222.9053786698611
351,18.250504,222.58762315739907
352,18.251726,222.2712226802485
353,18.252556,221.95616763502957
354,18.25304,221.6424485133783
355,18.253365,221.33005590074126
356,18.253723,221.0189804751891
357,18.254124,220.70921300624818
358,18.254532,220.40074435374996
359,18.254961,220.09356546669852
360,17.707975,219.78766738215495
361,17.708353,219.48304122413907
362,17.708725,219.17967820254748
363,17.709114,218.8775696120885
364,17.709602,218.57670683123283
365,17.710255,218.27708132118005
366,17.711021,217.97868462484092
367,17.711885,217.6815083658347
368,17.71275,217.38554424750166
369,17.71365,217.0907840519301
370,17.714413,216.7972196389979
371,17.714867,216.5048429454286
372,17.715202,216.21364598386086
373,17.715508,215.92362084193223
374,17.715858,215.63475968137607
375,17.716404,215.34705473713177
376,17.717022,215.06049831646806
377,17.718155,214.77508279811903
378,17.720013,214.49080063143296
379,17.721695,214.20764433553313
380,17.722881,213.92560649849113
381,17.723635,213.64467977651188
382,17.724216,213.36485689313054
383,17.72479,213.08613063842097
384,17.72537,212.8084938682153
385,17.72593,212.53193950333497
386,17.726519,212.2564605288326
387,17.727192,211.9820499932445
388,17.727585,211.70870100785396
389,17.727837,211.43640674596497
390,17.728033,211.16516044218625
391,17.728308,210.89495539172492
392,17.728575,210.62578494969077
393,17.728853,210.35764253040955
394,17.729124,210.09052160674653
395,17.729328,209.82441570943908
396,17.729465,209.5593184264385
397,17.72959,209.2952234022612
398,17.729692,209.03212433734876
399,17.729822,208.7700149874367
400,17.729963,208.5088891629321
401,17.730396,208.24874072829974
402,17.730803,207.98956360145638
403,17.731182,207.731351753174
404,17.731495,207.47409920648997
405,17.732065,207.21780003612685
406,17.732595,206.9624483679183
407,17.732887,206.7080383782443
408,17.733007,206.45456429347294
409,17.733027,206.20202038941017
410,17.733027,205.95040099075692
411,17.733032,205.6997004705734
412,17.733072,205.44991324975047
413,17.1575,205.20103379648845
414,17.1575,204.95305662578227
415,17.1575,204.70597629891384
416,17.1575,204.4597874229511
417,17.1575,204.21448465025375
418,17.157547,203.97006267798508
419,17.157633,203.72651624763057
420,17.157911,203.48384014452307
421,17.158218,203.2420291973733
422,17.158495,203.00107827780747
423,17.15884,202.76098229991018
424,17.159248,202.52173621977371
425,17.159943,202.28333503505286
426,17.160425,202.0457737845256
427,17.160847,201.80904754765976
428,17.16123,201.5731514441844
429,17.161703,201.33808063366783
430,17.1622,201.10383031510008
431,17.162561,200.87039572648115
432,17.162817,200.63777214441447
433,17.163193,200.40595488370548
434,17.163734,200.17493929696514
435,17.164555,199.94472077421892
436,17.16514,199.71529474252003
437,17.165342,199.4866566655683
438,17.165401,199.2588020433331
439,17.165478,199.03172641168163
440,17.165548,198.80542534201146
441,17.165707,198.57989444088773
442,17.16589,198.35512934968492
443,17.166105,198.13112574423312
444,17.16634,197.9078793344686
445,17.16642,197.68538586408866
446,17.16642,197.46364111021086
447,17.16642,197.2426408830364
448,17.166935,197.0223810255175
449,17.167812,196.8028574130292
450,17.169064,196.5840659530447
451,17.170523,196.36600258481505
452,17.171925,196.14866327905273
453,17.173193,195.93204403761854
454,17.174234,195.7161408932132
455,17.17505,195.5009499090717
456,17.175419,195.28646717866226
457,17.175474,195.072688825388
458,17.175535,194.8596110022931
459,17.175728,194.6472298917717
460,17.175926,194.43554170528085
461,17.17616,194.22454268305648
462,17.176582,194.01422909383317
463,17.176905,193.8045972345667
464,17.177313,193.59564343016055
465,17.177855,193.38736403319487
466,17.178497,193.1797554236597
467,17.178938,192.97281400869
468,17.1792,192.76653622230498
469,17.179398,192.56091852514982
470,17.179651,192.35595740424066
471,17.179651,192.1516493727125
472,17.179651,191.94799096957007
473,17.179651,191.74497875944158
474,17.179668,191.5426093323352
475,17.17993,191.3408793033988
476,17.180344,191.13978531268174
477,17.180626,190.93932402490032
478,17.180832,190.73949212920493
479,16.576908,190.54028633895078
480,16.577106,190.34170339147065
481,16.577234,190.14374004785046
482,16.577276,189.94639309270755
483,16.577326,189.74965933397115
484,16.577356,189.55353560266553
485,16.57736,189.35801875269584
486,16.57746,189.1631056606358
487,16.577625,188.96879322551848
488,16.577738,188.77507836862864
489,16.57775,188.5819580332984
490,16.57775,188.38942918470426
491,16.57777,188.19748880966688
492,16.577923,188.0061339164531
493,16.578135,187.81536153458012
494,16.5784,187.62516871462154
495,16.578762,187.43555252801627
496,16.579275,187.24651006687876
497,16.579767,187.0580384438119
498,16.579937,186.87013479172168
499,16.57996,186.68279626363417
500,16.579967,186.49602003251414

metric,value
stopping_time_tau,500
coverage_test,0.9607843137254902
conformal_quantile_q_hat,6.9840603
R_min,8.396989822387695
sigma2_est,8.396989822387695
L0_est,201.52813110351562
q_est,5.417877197265625
gamma_at_tau,186.49602003251414
